MONTH_REPORTED,DRIVER_START_MONTH,CITY,STATE,ZIP,NUMBER_OF_TRIPS,MULTIPLE_TNPS
2022-01,2022-01,Naperville,IL,60565,0,false
2022-01,2022-01,Naperville,IL,60565,0,false
2022-01,2020-07,Chicago,IL,60630,248,true
2022-01,2021-11,Chicago,IL,60630,619,false
2022-01,2021-08,Addison,IL,60101,35,false
2022-01,2020-06,Mundelein,IL,60060,12,false
2022-01,2021-06,Chicago,IL,60625,180,false
2022-01,2020-12,Chicago,IL,60608,48,false
2022-01,2021-08,Chicago,IL,60626,75,true
2022-01,2019-10,Downers Grove,IL,60516,70,true
2022-01,2021-11,Chicago,IL,60629,95,false
2022-01,2019-03,Wheaton,IL,60189,82,false
2022-01,2014-03,Chicago,IL,60647,106,true
2022-01,2014-09,Hoffman Estates,IL,60192,3,false
2022-01,2017-08,Wilmington,IL,60481,191,true
2022-01,2021-02,Chicago,IL,60640,113,false
2022-01,2021-06,South Elgin,IL,60177,95,false
2022-01,2021-12,Buffalo,NM,14206,235,false
2022-01,2020-07,Lombard,IL,60148,0,false
2022-01,2017-06,Markham,IL,60428,115,false
2022-01,2022-01,Indianapolis,IN,46226,0,false
2022-01,2021-01,Morton Grove,IL,60053,0,false
2022-01,2021-01,Morton Grove,IL,60053,0,false
2022-01,2021-01,Morton Grove,IL,60053,0,false
2022-01,2020-05,Chicago,IL,60613,333,false
2022-01,2021-11,Park Forest,IL,60466,19,false
2022-01,2021-07,Naperville,IL,60563,5,true
2022-01,2020-12,Chicago,IL,60630,43,false
2022-01,2021-04,Cicero,IL,60804,68,false
2022-01,2021-03,Cicero,IL,60804,168,false
2022-01,2021-03,Skokie,IL,60076,146,true
2022-01,2020-02,Elgin,IL,60120,15,true
2022-01,2021-05,Chicago,IL,60707,0,false
